,,,,,,,,
Entre quels lacs se trouvent les chutes du Niagara ?,,Ontario et Huron,Érié et Ontario,Michigan et Érié,Huron et Michigan,,,B
Quelle est la capitale de la Sardaigne ?,,Cagliari,Sassari,Bastia,Ajaccio,,,A
Lequel de ces pays n’a pas de frontière avec la Slovénie ?,,Hongrie,Italie,Autriche,Liechtenstein,,,D
Quelle est la capitale de l’Eswatini ?,,Banjul,Lolongwe,Mbabane,El Aaiùn,,,C
Où se situe l’Île de Navasse ?,,Entre Cuba et Bahamas,Entre République Dominicaine et Porto-Rico,Entre Haiti et Jamaïque,Entre Haiti et Jamaïque,,,C
Quelle est la capitale de l’état américain de l'Arkansas ?,,Little Rock,Harrisburg,Lincoln,Bismark,,,A
Lequels de ces pays n’a pas de frontière commune avec le Surinam ?,,Guyana,Vénézuela,Brésil,Guyane française,,,B
Dans quelle mer se jète la Volga ?,,Mer Méditerrannée,Mer Noire,Mer d'Aral,Mer Caspienne,,,D
Quelle est la capitale de la Guinée équatoriale ?,,Maseru,Macau,Malabo,Maputo,,,C
Quel est la capitale de Antigua-et-Barbuda ?,,Cockburn Town,St-John's,Basseterre,St-George's,,,B
Dans que pays se trouvent les anciennes ruines de Babylone ?,,Syrie,Israël,Palestine,Irak,,,D
Quelle est la capitale de l’Île de Crète ?,,Héraklion,Réthymnon,La Canée,Sitia,,,A
Où se situent les Îles Éoliennes ?,,Dans la Mer Adriatique,Au sud de la Grèce,Au nord de la Sicile,À l'Ouest du Maroc,,,C
De quel archipel fait partie l’Île de Ponta Delgada ?,,Baléares,Acores,Bahamas,Canaries,,,B
Où se situe l’archipel des Aléoutiennes ?,,À l’est du Groenland,À l’est de Madagascar,Entre la France et le Royaume Unis,Au sud -ouest de l’Alaska,,,D
Où se situe la Mer Morte ?,,Entre Beyrouth et Damas,Entre la péninsule du Sinaï et l’Arabie,Entre la Jordanie et Israël,Entre la Syrie et la Turquie,,,C
De quelle île St-Pierre-Port est-il la capitale ?,,Guernesey,Île d'Yeu,Sercq,Jersey,,,A
À quelle région de France appartient la région viticole de Bordeaux ?,,Poitou -Charentes,Aquitaine,Midi-Pyrénées,Limousin,,,B
Où se trouve l’île de Skye ?,,Entre Irlande et Royaume Unis,Au nord de l’Irlande du nord,À l’est de l’Islande,À l’ouest de l’Écosse,,,D
Lequel de ces pays a une frontière commune avec la Lombardie ?,,Suisse,Liechtenstein,Autriche,France,,,A
Comment se nomme l'île au sud-ouest de Sorrente dans la baie de Naples ?,,Ischia,Procida,Capri,Ponziane,,,C
Quelle est la capitale des Svalbard ?,,Torshavn,Longyearbyen,Kirkwall,Lerwick,,,B
Quelle est la capitale de la Zambie ?,,Harare,Lusaka,Gaborone,Luanda,,,B
Où se situe l'archipel de Juan Fernandez ?,,À l'ouest du Chili,À l'est du Brésil,Au sud de l'Argentine,Au nord du Vénézuela,,,A
Quelle est la capitale de l'Île de Pâques ?,,Suva,Nuku'alofa,Hanga Roa,Mata-Utu,,,C
